Kiểu tin nhắn,Nội dung tin nhắn,Mã người gửi,Tạo lúc
INBOX,Ib. Minh bi ngứa và ra khí hư. Khí hư mùi hôi ạ. Ib,24483520927959747,04/01/2024 20:47:51 - 27/03/2024 05:23:20
INBOX,E viêm lộ tuyến cổ tử. Cung. Cap 3 ak. E đang điều trị uống đặc thuốc. Hết tái lại nữa ak. 3thang gần đây e ra khí hư có khi có máu. Đau bụng dưới. E đi khám OK. E đi khám thì bác sĩ nói e lở loét cổ tử cung. Tìm hiểu rồi e mua. Xin giá,24487074347604426,10/01/2024 12:32:47 - 21/04/2024 18:39:01
INBOX,Ib e,24487139844234140,15/01/2024 23:21:15 - 15/01/2024 23:21:15
INBOX,Ib giá ạ,24488258394154266,09/01/2024 20:44:10 - 09/01/2024 20:44:10
INBOX,"xin giá ạ. ra khí nhèo ạ. Có mùi hôi, và ngứa",24489605077353805,10/01/2024 20:02:24 - 11/01/2024 05:57:02
INBOX,TV dùm e vs ạ. e bị huyết trắng ngứa ra hằng ngày. Dạ nhớt nhớt giống như NC mũi ạ. Có ngứa qh thì vẫn bình thường ạ.nhưg khô hạn. Ngứa bên trong lẩn bên ngoài ạ. Dạ e dùng thuốc đặt mua bên ngoài ạ. Dạ 2tuần ạ. Nhưg k đỡ. Dạ. Hay tái lại ạ. Dạ. TV e dùng thuốc ạ. Cho con bú uống đc k ạ. K bt cho con bú uống đc k ạ. Bao nhiêu 1hộp ạ. Có bán toàn quốc k ạ. Dạ e ở Phú Yên ạ. OK e cm ơn ạ. Dạ đc r ạ. Dạ e cm ơn ạ,24490433783934626,04/01/2024 20:28:30 - 05/01/2024 10:09:29
INBOX,nan,24490466060600491,11/01/2024 05:32:41 - 11/01/2024 05:32:41
INBOX,xin giá shop. Bị viêm ngúa khí hư quan hệ bị đau rát ah. Kinh nguyệt thì bình thường ah. Xin giá shop,24497653886547991,28/01/2024 20:52:41 - 20/07/2024 08:20:12
COMMENT,.,24498721386441546,13/01/2024 19:44:23 - 13/01/2024 19:44:23
INBOX,cho mình xin giá với. Sp dùng trong bao lâu vậy b. M bị viêm lộ tuyến. Sp chữa khỏi đk bệnh này ko bạn. Em cũng ko biết mà hôm qua mới đi khám lát mới biết c a. Bác sĩ chỉ cho thuốc đặt thuốc kháng sinh với thuốc chống phù nề và thuốc cầm máu. Với dung dịch vệ sinh. Của em là bị ngứa ạ. Với ra khí hư. Bạn ơi mình uống 5 hộp rồi mà  ko thấy đỡ mấy là sao vậy bạn. Vâng ạ,24503651602612711,15/01/2024 08:21:26 - 12/03/2024 16:47:38
COMMENT,Ib,24508027182174025,10/01/2024 05:54:33 - 10/01/2024 05:54:33
COMMENT,"Xin gia. Em bi viem lộ tuyến , hien tai e đang cho con bú , e su dung dc khong. Em be dc 16thang ruoi roi ạ. Em be e dc 16thang. E uong dc khong. Liệu trình khoảng bao lâu ạ. Cho em xin gia ạ. Viem lộ tuyen. Mình cũng ko biet nua. nan. Minh xet nghiem đua minh tờ giấy noi minh bi viem lộ tuyen",24508297545485689,06/02/2024 19:25:27 - 18/02/2024 14:40:36
INBOX,".. Giới thiệu sp cho mình vs. nan. .. Khí hư ra nhiều. Phải dùng ntn. Ngứa âm đạo. Đã dùng thuốc đặt và uống mà ko khỏi. Ngứa , khí hư ra nhiều. nan. Giờ c phải dùng thuốc ntn. Nếu bị lộ tuyến dùng có khỏi ko. Vậy có cần dùng thuốc đặt ki. Ko. nan",24511788488464421,06/01/2024 17:34:26 - 29/01/2024 08:49:23
INBOX,Xinh giá 1 liệu trình. Khí hư có màu trắng vón cục thường đâu bụng dưới,24514624418181664,24/02/2024 11:08:28 - 24/02/2024 16:50:28
INBOX,Có thể tu van giúp e dc k ak. E bi viêm lộ tuyến cổ tử cung đô 2 ạ. Ca nấm tai đi tai lai n lm ak. Trc đay moi bi e co dat thuốc thoi ak. Con vua roi e moi đi khám lai ngt bao e chua xong nấm thi đốt viêm lộ tuyến. Ma e nghe nói đốt no k tot pai k ak. Da e muốn biết pio e bi vlt độ 2 và nâm nv thi theo so đô chua sẽ tnao ak. Minh chi can uống và rửa nc rửa gel nữ vương thoi ak. Vua roi e cung moi đi khám ve lay thuốc đặt nua thang. Đe dung hết thuốc e sẽ dat lay liệu trình theo thang nhe. Lộ tuyến là nấm đay ha chi. Ak ma viêm ctc là nấm ngứa đay ha chi. dung kết hợp vs ca thuốc tay và nữ vương đung k ak. 9 hop co dc giam it k ak. Vag đe e thu xếp tiền roi e dat chi nhe. Jo lay 9 h e k co đi. nan. Vag  co j e sẽ Tl chi nhe. nan,24529652260012952,07/01/2024 09:39:28 - 07/01/2024 18:01:27
INBOX,nan,24535137569434773,19/01/2024 12:42:16 - 19/01/2024 12:42:16
INBOX,Tôi muốn tư vấn bị ngứa âm đạo,24535825206065117,24/01/2024 13:12:41 - 24/01/2024 13:12:41
INBOX,0911311918. 9 hộp. Cây giống trường hoa.thôn 6 ewer.buôn đôn .đaklak.0911311918. nan. nan,24542496888729542,26/01/2024 09:13:09 - 26/01/2024 09:29:02
INBOX,xin giá,24545176871797434,24/01/2024 11:36:28 - 24/01/2024 11:36:28
INBOX,chào a,24549674941344235,19/01/2024 14:47:21 - 19/01/2024 14:47:21
COMMENT,", cần dc tv",24558198570492385,15/01/2024 20:35:43 - 15/01/2024 20:35:43
COMMENT,Xin gia,24559005857081243,05/01/2024 19:40:05 - 05/01/2024 19:40:05
INBOX,xin giá sp ạ,24560044250309379,01/01/2024 11:35:46 - 01/01/2024 11:35:46
INBOX,con gia. Hiện e dag bầu 4thamgs. Bị viêm ngứa va hay ra nướcb. Khô rát bên trong. nan. Lay e 1lo. Ạ. Dạ. 0325871003 thanh xuân ủy ban na chảo xã hữu kiệm Kỳ Sơn Nghệ An,24561984706749845,20/01/2024 07:25:59 - 20/01/2024 16:18:22
INBOX,xin giá của thuốc ạ. Xin giá,24571712772474170,05/01/2024 08:23:51 - 05/01/2024 08:24:37
COMMENT,Xin giá,24572221739090652,22/04/2024 08:56:42 - 22/04/2024 08:56:42
INBOX,Mua 5 hộp có đc giá sỉ k. 6 hộp tặng 1 hộp đc k. Chị muốn mua dung dich để bán thì để giá bn. Chị lấy 2 hộp thì bao nhiêu tiền. Có đc trừ 20 k không. Síp chị 2 hộp nhé. Em gửi chị 3 típ rửa nhé. Mua 3 hộp sao k giảm giá em. nan,24577755695143066,13/01/2024 19:24:05 - 27/07/2024 11:46:23
INBOX,E cần tư vấn ạ. Dạ e bị ngứa và ra khí hư có mùi ạ. Dạ khí như có màu vàng xanh nhạt vón cục ạ. Hôi. Dạ lâu r ạ. Ngứa với hôi thì mới đây ạ. Khoảng gần 1 tháng. Dạ ch ạ,24586059464372828,12/01/2024 10:55:37 - 13/01/2024 09:04:34
INBOX,Có ở đài loan ko ạ,24586530590994583,14/01/2024 08:09:01 - 14/01/2024 08:09:01
INBOX,bn một hộp ạ,24586660227647492,07/01/2024 14:58:39 - 07/01/2024 14:58:39
INBOX,..,24588628240752263,01/01/2024 14:19:05 - 01/01/2024 14:19:05
COMMENT,Bao nhiêu viên vậy bác sĩ. Bao nhiêu một hợp vậy shop,24592612157052803,31/01/2024 20:42:06 - 24/04/2024 10:23:31
INBOX,xin giá,24593139386967612,09/01/2024 15:42:35 - 09/01/2024 15:42:35
INBOX,Ib,24595245943455438,07/01/2024 20:37:41 - 07/01/2024 20:37:41
INBOX,Tư vấn sp giúp m,24596398206673545,08/01/2024 00:41:52 - 08/01/2024 00:41:52
INBOX,Iboc,24597499849863512,16/04/2024 13:14:41 - 16/04/2024 13:14:41
COMMENT,.,24602190622728985,16/01/2024 05:45:05 - 16/01/2024 05:45:05
INBOX,giá bao nhiêu a,24605287775786169,24/01/2024 13:27:28 - 24/01/2024 13:27:28
COMMENT,Xin giá. Nếu mua 1 hộp uống và 1 chai rửa tổng giá nhiêu ạ. Có tốn tiền ship k,24606123009031252,12/01/2024 07:31:10 - 12/01/2024 21:09:39
INBOX,Cho e hỏi đang bị viêm lộ tuyến có uống đc ko ạ,24610049631974344,15/01/2024 20:34:07 - 15/01/2024 20:34:07
COMMENT,Nữ Vương New - Giúp Tránh Xa Các Bệnh Viêm Nhiễm Phụ Khoa Dai Dẳng xin giá,24613863738259658,23/01/2024 07:16:41 - 23/01/2024 07:16:41
INBOX,xin giá. Cho con bú có uống dc ko ạ. 10t. Bé 10 tháng sử dụng dc hả. Cho e đặt 1 hộp nha. Làm sao e biết hàng chính hãng ạ. tư vấn ạ,24615135064797949,24/01/2024 19:00:51 - 25/01/2024 20:59:17
COMMENT,"Xin giá  ạ. Cho mình  1hộp  vien  uống  ạ. Mình  mới  đi  khám  phụ  khoa  ,bs chuẩn đoán  viem lộ  tuyển, và  đã  cho thuốc  uống  và  đặt. Nhung mình  xem quảng  cáo  thuốc  nữ vương new,  mua thèm về  uống  có  dc k ạ. Vậy  cho mình  2hộp   này  nhé. Trần Thị  kim hoa cty trí năng  đường  N2 khu công  nghiệp an xá phương mỹ xá tp nam định 
0396184033. Bạn  cho mình  gói  3hộp  trước  nhé. C mình  3hộp  nữa  nhé. Cho mình  3hộp  bạn  nhé. Mình  k bạn  ạ. Ok bạn",24618475841131750,21/01/2024 20:19:43 - 17/02/2024 09:26:06
INBOX,TV giúp e ạ,24620250810956652,21/01/2024 15:50:53 - 21/01/2024 15:50:53
INBOX,.,24621705970806024,14/01/2024 21:23:45 - 14/01/2024 21:23:45
INBOX,.,24622875094023031,15/01/2024 20:49:34 - 15/01/2024 20:49:34
INBOX,1 bộ bn ạ. Cho mình hỏi đặt thuốc có cần uống kháng sinh k ạ. Mình bị viêm nặng. E ra khí hư vàng. Bí vlt rùi ạ. E bị lâu năm rùi. Bí năng rùi ạ. E dùng nhìu đủ loại rùi. K thấy đỡ. nan. E dùng thuốc đun uống cả đặt ngâm bằng đông y. Vừa đi khám về k thấy đỡ. Nên k uống bên kia nhà. Nữa. Nhìu trang quá. Đâu là nick thật vậy. Vâng. Cho mình hỏi. Như mình thì dùng lt ntn vậy. Vâng. E dùng nhìu loại k do. E chỉ soi thui. Năm ngoái e có đi khám và làm xn. Nhưng năm nay chưa đi. Vậy giờ mình dùng ntn ạ. K. E vừa dừng thuốc đông kia rùi. Giờ e chỉ uống hay ntn ạ. Thấy ra ít ít thui. Trc thấy ra nhìu. Nhưng e uống thuốc chắc đây ra đc 1pjan. Tháng đầu e uống nhìu viên ạ. Giá ưu đãi ntn vậy. E k bận về giá. Nhưng phân vân là dùng kb ntn. Vì e dùng quá nhiều loại thuốc. Uống cũng nhìu. Mà đặt cũng nhiều. Cho e hỏi nêu đỡ thì chỗ mình bị viêm đỏ ý thì nó sẽ thu dần lại nhỏ hay ntn ạ. Như e uống thuốc đông đây.hno e đi khám e có gửi kq cho bên kia họ bảo k còn khí hư còn đỏ kia nợ sẽ tái tạo lại. Nhưng e thầy đi khám vẫn còn khí hư và đỏ k độ nên e thui k uống nữa,24624083343906525,31/01/2024 05:41:11 - 31/01/2024 15:21:14
COMMENT,Giá bao nhiêu vậy shop. Ngứa  do nấm  khí  khư kinh nguyệt ra màu đen. Có  tất cả  tái đi tái lại,24647368338240767,02/02/2024 08:26:20 - 02/02/2024 11:47:19
COMMENT,Xin giá ạ. Viên uống hay viên đặt ạ,24657261633918429,02/02/2024 21:20:12 - 03/02/2024 16:33:21
INBOX,alo ạ. dạ. cho e xin giá thuốc ạ. Dạ. E bị khí hư 7 năm rồi. Nay chuyển sang khí hư ra máu đỏ đen ạ. Dạ chưa ạ. Dạ. E bị khí hư ra máu đc 4 ngày ạ,24657688387209644,21/01/2024 20:03:10 - 22/01/2024 13:32:28
COMMENT,xin giá,24657975153817744,22/01/2024 14:08:29 - 22/01/2024 14:08:29
INBOX,alo,24662631576717916,05/02/2024 11:00:45 - 05/02/2024 11:00:45
INBOX,"tv ạ. e đặt vòng nên hay bị viêm với ra dịch vàng trắng. e hay bị đau bụng dưới đau dây chằng ă, với hay ra dịch bất thường, e mới đi lấy vòng ra hôm qua. dạ có. hôm qua đi lấy vòng ra rồi giờ đang uống thuốc đặt thuốc bệnh viện",24669347339346292,26/01/2024 17:36:43 - 27/01/2024 10:52:24
INBOX,.,24671214262525955,24/01/2024 12:19:23 - 24/01/2024 12:19:23
INBOX,nan,24676154328699218,18/01/2024 22:07:14 - 18/01/2024 22:07:14
COMMENT,Xin giá,24676694861943861,23/02/2024 01:18:46 - 23/02/2024 01:18:46
COMMENT,Ib,24676796915298460,21/01/2024 19:46:45 - 21/01/2024 19:46:45
COMMENT,Xin giá,24678983355082888,19/02/2024 16:04:36 - 19/02/2024 16:04:36
